id;depth;comment;read_cnt;good_cnt;bad_cnt;created_at;created_by;modified_at;modified_by
1;85353;경기 purple;49097;34837;87987;2021-05-26T21:33:10;70527;2021-05-26T08:57:07;90385
2;7782;Refined fault-tolerant 1080p;81803;92665;52345;2021-05-26T14:07:14;57425;2021-05-26T22:38:32;88201
3;55759;web-enabled green Manager;18978;79613;29085;2021-05-26T08:15:18;69612;2021-05-26T06:13:05;72171
4;45053;Plastic Tanzanian;71504;79082;45616;2021-05-26T16:21:13;27260;2021-05-26T05:04:49;35410
5;42834;port;33743;18448;6351;2021-05-27T01:49:27;36156;2021-05-26T08:09:58;86442
6;97824;Data Human synthesize;3346;99032;49735;2021-05-26T04:11:57;4953;2021-05-26T12:34:27;46745
7;12713;withdrawal;860;64603;10725;2021-05-26T21:37:04;67558;2021-05-26T04:16:07;44757
8;69961;Concrete Liaison;34163;45654;13492;2021-05-26T20:46:05;74840;2021-05-27T00:25:11;17398
9;37111;withdrawal invoice;93708;33116;26202;2021-05-26T11:42:52;97096;2021-05-26T05:49:08;77275
10;6602;back-end intermediate Borders;41854;18000;33967;2021-05-26T19:08:01;70733;2021-05-26T04:55:23;23834
